Timestamp,Which one would you prefer to buy from?,How likely are you to engage with a Brand Story or Owner Story when browsing for products online?  ,Does learning about the story behind a brand or product increase your trust in it?  ,What type of brand story would you find most engaging?  ,  How likely are you to recommend Meesho to a friend or colleague?  ,  What is the primary reason for your score?  ,  What improvements could Meesho make to increase your satisfaction?  ,Others ( please specify ),How likely are you to interact with a touch screen in a mall displaying Meesho's new catalog of premium products? 
9/20/2024 19:37:25,A,Unlikely,Maybe,Brand’s mission and values,10,sasta and acha ,Improved customer service,jj,Very Likely
9/20/2024 21:05:36,B,Neutral,"Yes, definitely",Story behind the product,7,Quality ,More premium brands,,Likely
9/21/2024 12:04:16,B,Unlikely,No difference,Story behind the product,3,may be cheap else 1 scoe,More premium brands,,Unlikely
9/21/2024 12:05:04,A,Very likely,"Yes, definitely",All of the above,7,The platform needs some reformations,"Faster delivery, Higher product quality, More premium brands",,Very Likely
9/21/2024 12:06:17,B,Neutral,"Yes, definitely",All of the above,4,There is much to work upon but it is having great products and services ,Higher product quality,,Likely
9/21/2024 12:09:22,A,Likely,Maybe,All of the above,1,"As a seller on meesho, if they want to expand on premium range first they have to have a strong claim settlement system for the seller as there are many scams on meesho and customer can return literally anything instead of the original product and they will say it was what they received and when you will claim for it they wouldn't even give a single rupee and just say we dont see a problem ",Improved customer service,,Very Unlikely
9/21/2024 12:13:03,B,Very likely,"Yes, definitely",All of the above,5,Since I haven't used it so I am skeptical ,"Better product selection, Faster delivery, Improved customer service, Higher product quality",,Very Likely
9/21/2024 12:15:41,A,Likely,"Yes, definitely",All of the above,8,Affordable Price,Faster delivery,,Very Likely
9/21/2024 12:22:59,A,Likely,"Yes, definitely",All of the above,7,Quality and affordability ,"Better product selection, Faster delivery, Improved customer service, Higher product quality",,Neutral
9/21/2024 12:25:58,A,Likely,"Yes, definitely",Brand’s mission and values,8,We can get good products at competitive price,"Faster delivery, Higher product quality",,Very Likely
9/21/2024 12:26:52,A,Unlikely,No difference,Story behind the product,3,"Cheap products, but low quality ","Faster delivery, Improved customer service, Higher product quality, More premium brands",,Neutral
9/21/2024 12:27:01,A,Likely,"Yes, definitely",Story behind the product,7,"Relatively less range of options and slightly slacking services, however the products turn out to be good","Improved customer service, Higher product quality",,Very Likely
9/21/2024 12:30:27,A,Likely,Maybe,Story about the founder,9,Good quality available ,Improved customer service,,Likely
9/21/2024 12:31:10,A,Unlikely,Maybe,All of the above,5,"Not used much, so not know much about this","Higher product quality, More premium brands",,Likely
9/21/2024 12:35:28,B,Very Unlikely,No difference,,10,.,"Better product selection, Faster delivery, Improved customer service, Higher product quality, More premium brands",,Very Likely
9/21/2024 12:59:13,A,Likely,"Yes, definitely",All of the above,3,It's great but ofc always there's a scope for improvement ,"Improved customer service, Higher product quality",,Very Likely
9/21/2024 13:03:42,A,Likely,Maybe,Story about the founder,7,"Products are good but then many times something else is delivered and frequently the requirement has time constraints, also many products are unavailable ","Better product selection, Faster delivery, Improved customer service",,Likely
9/21/2024 13:19:02,A,Very Unlikely,Maybe,Story behind the product,1,i don't prefer meesho.,"Better product selection, Faster delivery, Improved customer service, Higher product quality",,Very Likely
9/21/2024 13:21:00,A,Unlikely,"Yes, definitely",Brand’s mission and values,4,Low prices ,"Better product selection, Higher product quality, More premium brands",,Very Unlikely
9/21/2024 13:29:29,A,Very likely,"Yes, definitely",All of the above,5,Slow delivery ,Faster delivery,,Very Likely
9/21/2024 13:42:09,A,Likely,"Yes, definitely",All of the above,9,"It is a very great online shopping platform and has options in a very large price range, so that anyone could afford.","Higher product quality, More premium brands",,Likely
9/21/2024 13:53:29,A,Likely,"Yes, definitely",All of the above,5,Because I don't trust the site yet,"Better product selection, Improved customer service, Higher product quality",,Neutral
9/21/2024 14:12:31,A,Unlikely,No difference,Story about the founder,1,Have not tried it yet. ,Higher product quality,,Very Likely
9/21/2024 14:39:34,A,Neutral,"Yes, definitely",All of the above,5,Never used meesho,More premium brands,,Neutral
9/21/2024 15:01:35,A,Likely,"Yes, definitely",Brand’s mission and values,6,.,Higher product quality,,Likely
9/21/2024 15:39:32,A,Neutral,Maybe,All of the above,8,cheap and quality products,"Better product selection, More premium brands",,Very Unlikely
9/21/2024 16:52:34,A,Likely,"Yes, definitely",Brand’s mission and values,2,"Unsatisfactory UI/UX, less customer reviews ","Better product selection, Improved customer service",,Likely
9/21/2024 17:53:58,A,Neutral,Maybe,All of the above,4,Meesho compromise with quality while dealing with cost. If they can find a neutral balance between it then I might give it a 9,"Better product selection, Faster delivery, Improved customer service, Higher product quality",,Neutral
9/21/2024 19:16:53,A,Likely,"Yes, definitely",All of the above,8,Low price ,"Better product selection, Higher product quality",,Very Likely
9/21/2024 19:33:02,B,Likely,Maybe,All of the above,5,Nothing serious,Improved customer service,,Very Likely
9/21/2024 20:44:22,B,Unlikely,Maybe,Story behind the product,8,I rarely use meesho but i think its a nice app,"Faster delivery, Improved customer service, Higher product quality",,Neutral
9/21/2024 20:56:11,B,Unlikely,No difference,Story behind the product,4,"Products are not very good quality, not as efficient as others.","Better product selection, Faster delivery, Higher product quality",,Neutral
9/21/2024 22:28:58,A,Likely,"Yes, definitely",All of the above,9,Low cost,"Better product selection, Faster delivery",,Neutral
9/21/2024 23:00:58,A,Likely,Maybe,Brand’s mission and values,8,Good experience ,"Better product selection, Faster delivery",,Unlikely
9/22/2024 0:46:10,B,Unlikely,Maybe,Story about the founder,7,Product searched and products shown relevance(i searched for wireless mouse and got maximum wired mouse and mouse pads),Other (please specify),,Very Unlikely
9/22/2024 14:07:44,A,Neutral,Maybe,Brand’s mission and values,5,Product quality,"Better product selection, Faster delivery, Improved customer service, Higher product quality, More premium brands",,Neutral
9/23/2024 10:58:59,A,Very likely,"Yes, definitely",All of the above,10,Cost effective ,Better product selection,,Very Likely
9/23/2024 18:09:58,A,Likely,Maybe,Story behind the product,3,Quality and service sucks,"Improved customer service, Higher product quality",,Very Unlikely
